,symbol,index,AnnualReturn,AnnualVolatility,SharpeRatio,StratCumReturn,BenchCumReturn,Beta,MaximumDrawdown,MaximumDrawdownStart,MaximumDrawdownEnd
336,502042.SH,000016.SH,28.75958486,11.81650673,2.433848304,1.52662037,1.241696876,0.987332984,7.187708533,20171215,20171122
74,164705.SZ,HSI.HI,26.51850252,10.8216409,2.450506607,1.262741404,1,,6.082331175,20171206,20171122
21,470007.OF,000001.SH,5.42762372,2.199019783,2.468201405,1.109284065,1.055465727,0.967168152,2.327329767,20170321,20170119
401,502050.SH,000016.SH,19.75550156,7.994551517,2.471120678,1.437478705,1.241696876,0.99563992,5.127669153,20171215,20171122
511,000071.OF,HSI.HI,27.8420167,11.17993679,2.490355467,1.27584185,1,,6.312427805,20171206,20171122
593,000370.OF,SPG120035.SPI,18.64722739,7.463141716,2.498576083,1.184806034,1,,4.262295082,20171115,20171019
9,150170.SZ,HSI.HI,49.35289756,19.74171757,2.499929268,1.488612836,1,,10.8008817,20171206,20171122
37,001237.OF,000016.SH,2.710100246,1.07641998,2.517697828,1.268572164,1.241696876,0.997676865,1.009850047,20170612,20161230
424,159920.SZ,HSI.HI,29.37585015,11.55880932,2.541425274,1.29102269,1,,6.614734618,20171206,20171122
206,165515.OF,000300.SH,3.521095217,1.382511167,2.546883743,1.240689989,1.205773436,0.992439309,0.842626885,20171019,20170914
278,510300.SH,000300.SH,1.365896593,0.527618459,2.588796067,1.21931938,1.205773436,0.998865121,0.492750059,20171227,20170905
35,160633.OF,399975.SZ,2.70013026,1.042695521,2.589567333,0.897131553,0.870355124,0.99827397,0.298811205,20170828,20170818
84,510060.SH,000042.SH,2.869608467,1.102109262,2.603742266,1.198367672,1.16991077,0.995010804,0.780172134,20170602,20170103
315,510650.SH,000038.SH,2.404230605,0.920725918,2.611233766,1.254287282,1.230444921,0.998120714,0.437421159,20170607,20161230
553,150052.SZ,000300.SH,19.05264227,7.262802589,2.623318208,1.394594595,1.205773436,0.991103541,4.764451132,20171218,20171122
257,213010.OF,000903.SH,3.821566118,1.456662053,2.623509078,1.3283859,1.290490217,0.992326567,1.333280801,20170601,20170306
205,512500.SH,000905.SH,1.076406706,0.410220912,2.623968386,0.996230966,0.985555842,0.999734955,0.499527675,20170411,20170119
149,510050.SH,000016.SH,2.073118292,0.787487224,2.632573873,1.262255926,1.241696876,0.99802314,0.324229994,20170607,20161230
85,003876.OF,000300.SH,7.405560644,2.804055156,2.64101818,1.27919855,1.205773436,0.97438164,2.007961914,20171106,20170724
202,161211.OF,000914.SH,3.602311836,1.353701105,2.661083619,1.208003723,1.172281911,0.998154539,0.83896828,20170601,20170505
489,002423.OF,IXY.SPI,20.60141691,7.70839808,2.6725938,1.20415879,1,,4.385964912,20170818,20170602
487,161726.OF,399441.SZ,2.797271338,1.036467164,2.698851866,1.063520871,1.03578123,0.997083064,0.493824329,20171222,20171123
344,585001.OF,000964.SH,2.960381716,1.09383564,2.7064228,1.126019946,1.096662984,0.997500368,1.200127316,20171026,20170717
60,512640.SH,000934.SH,1.719687116,0.634407582,2.71069761,1.168862056,1.151807728,0.998794351,0.274250403,20171227,20170926
268,150270.SZ,399997.SZ,77.86172324,28.57571393,2.724751634,2.490585774,1.720366671,0.99575592,24.49371303,20171130,20171116
525,003718.OF,SP500.SPI,16.6416187,6.100398355,2.727956066,1.164941339,1,,2.571041949,20170413,20170301
407,510500.SH,000905.SH,0.688270271,0.250491016,2.747684455,0.992381782,0.985555842,0.999850684,0.109557562,20171204,20170918
144,240016.OF,000029.SH,3.283655457,1.193599005,2.751054118,1.261516116,1.228953798,0.996623355,0.886633116,20170410,20161230
230,003721.OF,SP50045.SPI,28.80941434,10.41740048,2.765508958,1.285416667,1,,5.527318933,20170703,20170608
107,510230.SH,000018.SH,2.355857916,0.843750555,2.792126065,1.215970099,1.192607396,0.998364283,0.224839745,20171227,20171122
5,159901.SZ,399330.SZ,1.291080186,0.456619698,2.827473697,1.260201968,1.247397959,0.999561818,0.143781419,20170413,20161230
381,180003.OF,DJCN88.GI,27.39453596,9.629403415,2.844884026,1.271412708,1,,6.261373197,20171207,20171122
440,165309.SZ,000300.SH,2.327881118,0.793170515,2.93490627,1.228858723,1.205773436,0.998738998,0.586080253,20171121,20170929
301,162412.OF,399989.SZ,2.215117807,0.7542272,2.936937049,0.872237744,0.850270616,0.998848725,0.346084976,20171013,20170726
467,160639.OF,399807.SZ,3.75086898,1.273026259,2.946419176,0.920574736,0.88338,0.995697472,0.504701808,20170411,20170331
329,000311.OF,000300.SH,11.65164005,3.944749268,2.953708654,1.321278882,1.205773436,0.939688526,2.170480767,20171127,20171116
224,163407.SZ,000300.SH,10.07578369,3.354824188,3.003371599,1.305663082,1.205773436,0.953727249,2.251258848,20170814,20170718
483,161121.OF,399986.SZ,3.977168678,1.321500671,3.009585062,1.178021978,1.138583544,0.995926172,0.63626932,20170601,20170420
306,161030.OF,399804.SZ,3.754797597,1.245435548,3.014846978,0.723171829,0.685938141,0.996562832,0.518736709,20171106,20170929
